
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0     10,876 K
Registry                        96 Services                   0     32,292 K
smss.exe                       460 Services                   0        680 K
csrss.exe                      724 Services                   0      3,668 K
wininit.exe                    820 Services                   0      3,568 K
csrss.exe                      828 Console                    1      3,956 K
winlogon.exe                   924 Console                    1      5,984 K
services.exe                   932 Services                   0      7,680 K
lsass.exe                      976 Services                   0     21,792 K
svchost.exe                    532 Services                   0      2,388 K
WUDFHost.exe                   644 Services                   0      4,496 K
fontdrvhost.exe                636 Console                    1      3,376 K
fontdrvhost.exe                652 Services                   0      1,900 K
svchost.exe                    412 Services                   0     28,032 K
svchost.exe                   1084 Services                   0     16,824 K
svchost.exe                   1128 Services                   0      6,728 K
dwm.exe                       1212 Console                    1     80,412 K
svchost.exe                   1236 Services                   0      5,784 K
svchost.exe                   1256 Services                   0      7,308 K
svchost.exe                   1284 Services                   0      7,120 K
svchost.exe                   1400 Services                   0      6,348 K
svchost.exe                   1472 Services                   0     13,840 K
svchost.exe                   1640 Services                   0      8,568 K
svchost.exe                   1656 Services                   0     11,836 K
svchost.exe                   1744 Services                   0      4,516 K
svchost.exe                   1796 Services                   0      4,160 K
svchost.exe                   1840 Services                   0      5,988 K
svchost.exe                   1856 Services                   0      7,248 K
svchost.exe                   1888 Services                   0     14,188 K
svchost.exe                   1936 Services                   0      6,280 K
svchost.exe                   2008 Services                   0      6,028 K
svchost.exe                   2020 Services                   0    108,280 K
svchost.exe                   2028 Services                   0      3,620 K
svchost.exe                   1728 Services                   0      7,560 K
svchost.exe                   1668 Services                   0      5,656 K
svchost.exe                   2036 Services                   0      7,780 K
Memory Compression            2104 Services                   0    698,732 K
svchost.exe                   2152 Services                   0      6,296 K
igfxCUIService.exe            2232 Services                   0      4,884 K
svchost.exe                   2248 Services                   0      5,444 K
svchost.exe                   2304 Services                   0      5,680 K
svchost.exe                   2312 Services                   0     15,452 K
svchost.exe                   2320 Services                   0      7,364 K
svchost.exe                   2488 Services                   0     14,452 K
RtkAudioService64.exe         2540 Services                   0      4,148 K
wscript.exe                   2548 Services                   0      2,228 K
svchost.exe                   2632 Services                   0     13,708 K
svchost.exe                   2776 Services                   0      5,592 K
svchost.exe                   2784 Services                   0      8,984 K
svchost.exe                   2792 Services                   0      8,792 K
svchost.exe                   2800 Services                   0      4,680 K
dasHost.exe                   2812 Services                   0     10,260 K
svchost.exe                   2956 Services                   0      9,256 K
svchost.exe                   3040 Services                   0      7,728 K
svchost.exe                   3092 Services                   0      5,896 K
RAVBg64.exe                   3340 Console                    1      7,448 K
svchost.exe                   3348 Services                   0     11,780 K
svchost.exe                   3400 Services                   0      9,940 K
spoolsv.exe                   3456 Services                   0     11,392 K
svchost.exe                   3600 Services                   0      5,320 K
svchost.exe                   3668 Services                   0      4,836 K
svchost.exe                   3676 Services                   0      5,168 K
AppleMobileDeviceService.     3808 Services                   0      6,752 K
IpOverUsbSvc.exe              3816 Services                   0      7,524 K
IntelCpHDCPSvc.exe            3824 Services                   0      3,780 K
armsvc.exe                    3832 Services                   0      3,876 K
mDNSResponder.exe             3848 Services                   0      4,508 K
ftscanmgrhv.exe               3856 Services                   0      7,320 K
svchost.exe                   3864 Services                   0     16,956 K
svchost.exe                   3872 Services                   0     10,132 K
horizon_client_service.ex     3880 Services                   0      8,696 K
ftnlsv.exe                    3888 Services                   0      3,548 K
mfemms.exe                    3896 Services                   0      4,456 K
svchost.exe                   3908 Services                   0     26,504 K
svchost.exe                   3916 Services                   0     36,784 K
ModuleCoreService.exe         4028 Services                   0     41,368 K
svchost.exe                   4068 Services                   0      6,180 K
svchost.exe                   3228 Services                   0      4,180 K
PEFService.exe                3028 Services                   0      1,052 K
rpdsvc.exe                    3648 Services                   0     12,868 K
svchost.exe                   3768 Services                   0      6,848 K
SmartByteNetworkService.e     4168 Services                   0     47,644 K
SecurityHealthService.exe     4184 Services                   0      9,692 K
TrueColorALS.exe              4216 Services                   0      5,072 K
vmwsprrdpwks.exe              4260 Services                   0      5,276 K
